Date,LMCADS03,LMCADY,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG
2003-02-17,1673.0,1653.25,100.46,384761.0,834.89,120.5706,182.76,36.8,345.55,4.5
2003-02-18,1659.0,1639.5,100.53,384761.0,851.17,120.3155,185.08,36.96,343.55,4.56
2003-02-19,1656.0,1637.0,100.0,381930.0,845.13,120.8563,183.44,37.16,349.45,4.63
2003-02-20,1665.0,1647.25,99.55,380935.0,837.1,120.4792,182.51,36.79,352.25,4.672
2003-02-21,1707.0,1691.75,100.09,380294.0,848.17,122.2218,184.02,35.58,351.35,4.675
2003-02-24,1729.0,1714.75,99.66,379251.0,832.58,125.0492,181.65,36.48,357.75,4.72
2003-02-25,1718.0,1702.75,99.86,378225.0,838.57,121.6766,180.25,36.06,351.85,4.65
2003-02-26,1744.5,1730.0,99.62,377473.0,827.55,123.8826,178.78,37.7,354.35,4.66
2003-02-27,1737.0,1723.25,99.81,375957.0,837.28,122.4166,180.04,37.2,345.45,4.57
2003-02-28,1710.0,1697.75,99.71,374707.0,841.15,122.5258,181.51,36.6,349.95,4.6
2003-03-03,1722.0,1708.5,99.1,373669.0,834.81,121.9321,181.64,35.88,349.05,4.66
2003-03-04,1717.5,1702.0,99.13,373174.0,821.99,122.289,179.04,36.89,354.25,4.67
2003-03-05,1679.0,1662.0,98.28,372679.0,829.85,121.77,179.7,36.69,353.55,4.64
2003-03-06,1677.0,1659.25,98.31,372229.0,822.1,122.4157,178.09,37.0,356.25,4.67
2003-03-07,1680.0,1662.25,98.04,371779.0,828.89,124.0064,177.79,37.78,350.75,4.67
2003-03-10,1670.0,1651.5,97.85,371307.0,807.48,122.9589,173.86,37.27,354.45,4.685
2003-03-11,1685.0,1666.25,97.91,370811.0,800.73,121.612,172.63,36.72,350.65,4.68
2003-03-12,1673.0,1654.25,98.16,370515.0,804.19,121.5551,171.39,37.83,345.75,4.63
2003-03-13,1654.0,1635.5,99.78,369668.0,831.9,118.8484,176.43,36.01,334.35,4.54
2003-03-14,1662.0,1643.3,99.99,369240.0,833.27,117.9232,178.37,35.38,336.35,4.54
2003-03-17,1691.0,1672.0,100.74,368769.0,862.79,116.6705,182.82,34.93,336.55,4.45
2003-03-18,1686.0,1666.25,100.86,368275.0,866.45,114.5515,183.62,31.67,337.85,4.46
2003-03-19,1707.0,1687.5,101.58,367779.0,874.02,114.09,184.99,29.88,336.45,4.42
2003-03-20,1686.0,1667.25,101.15,367351.0,875.67,113.0508,185.56,28.61,332.25,4.41
2003-03-21,1706.0,1687.25,102.0,366879.0,895.79,111.3801,189.06,26.91,326.05,4.35
2003-03-24,1686.0,1666.75,100.99,366341.0,864.23,112.3054,184.12,28.66,329.65,4.37
2003-03-25,1690.0,1670.75,100.87,366138.0,874.74,111.1976,185.71,27.97,328.55,4.39
2003-03-26,1663.0,1643.5,100.53,365433.0,869.95,111.2529,185.34,28.63,330.25,4.4
2003-03-27,1622.0,1602.5,100.64,365178.0,868.52,112.6423,184.49,30.37,329.25,4.39
2003-03-28,1607.0,1589.0,99.96,364803.0,863.5,112.3557,183.65,30.16,331.85,4.43
2003-03-31,1590.5,1572.0,98.88,363725.0,848.18,113.1709,180.2,31.04,337.45,4.46
2003-04-01,1603.0,1584.75,99.15,362749.0,858.48,112.076,182.09,29.78,334.95,4.43
2003-04-02,1588.5,1570.25,100.08,362225.0,880.9,111.3525,185.99,28.56,329.95,4.4
2003-04-03,1575.0,1558.0,100.34,361619.0,876.45,111.0008,185.66,28.97,325.25,4.41
2003-04-04,1586.0,1568.75,100.4,360916.0,878.85,111.2417,186.5,28.62,325.55,4.41
2003-04-07,1614.0,1597.0,100.7,360833.0,879.93,111.6282,188.5,27.96,323.05,4.42
2003-04-08,1600.0,1582.75,100.53,360532.0,878.29,111.2958,187.53,28.0,322.75,4.47
2003-04-09,1597.0,1579.5,100.16,360467.0,865.99,112.352,185.85,28.85,326.85,4.48
2003-04-10,1583.5,1566.05,99.82,359782.0,871.58,111.5809,185.98,27.46,326.55,4.49
2003-04-11,1605.0,1587.8,100.18,359566.0,868.3,112.2939,185.52,28.14,328.05,4.49
2003-04-14,1603.0,1585.5,99.96,358800.0,885.23,112.152,188.09,28.63,324.85,4.53
2003-04-15,1628.0,1611.5,99.76,357392.0,890.81,113.4736,190.04,29.29,324.95,4.52
2003-04-16,1623.0,1610.25,99.06,356954.0,879.91,113.443,188.65,29.18,326.45,4.4875
2003-04-17,1627.0,1620.0,99.3,356457.0,893.58,114.9768,190.96,30.55,327.15,4.47
2003-04-18,1627.0,1620.0,99.28,356457.0,893.58,114.9768,191.06,30.55,325.95,4.48
2003-04-21,1627.0,1620.0,99.59,355673.0,892.01,115.4188,190.57,30.87,333.55,4.53
2003-04-22,1598.0,1594.25,98.73,355106.0,911.37,114.5212,193.54,29.91,332.95,4.6
2003-04-23,1604.0,1602.0,98.78,354669.0,919.02,113.3289,195.15,26.65,331.25,4.62
2003-04-24,1583.0,1580.5,98.33,353693.0,911.43,112.8714,193.77,26.64,334.45,4.64
2003-04-25,1579.0,1574.5,98.36,352642.0,898.81,112.6237,191.14,26.26,333.25,4.63
2003-04-28,1586.0,1579.5,98.67,351931.0,914.84,110.9664,194.02,25.49,333.85,4.57
2003-04-29,1603.5,1596.25,98.02,351180.0,917.84,111.2272,194.53,25.24,334.25,4.55
2003-04-30,1606.0,1608.25,97.19,351005.0,916.92,112.3595,195.75,25.8,338.55,4.6529
2003-05-01,1609.0,1607.75,96.7,350025.0,916.3,112.6475,196.14,26.03,341.75,4.76
2003-05-02,1586.0,1579.75,96.75,349328.0,930.08,112.0247,197.96,25.67,340.95,4.78
2003-05-05,1586.0,1579.75,96.37,348273.0,926.55,113.6193,198.38,26.49,342.25,4.8
2003-05-06,1593.0,1585.25,95.34,347749.0,934.39,112.9911,200.84,25.72,344.25,4.78
2003-05-07,1616.0,1612.75,95.58,346880.0,929.62,113.7732,199.95,26.23,342.05,4.72
2003-05-08,1628.5,1622.0,94.93,346141.0,920.27,114.8506,197.93,26.98,348.65,4.78
2003-05-09,1625.0,1618.0,94.98,345267.0,933.41,116.6231,200.13,27.72,348.55,4.78
2003-05-12,1640.0,1629.75,94.55,344911.0,945.11,117.3944,202.2,27.35,351.25,4.85
2003-05-13,1676.0,1670.75,94.7,344683.0,942.3,119.0341,201.87,28.5,349.85,4.825
2003-05-14,1678.0,1664.25,94.58,343534.0,939.28,119.7218,201.73,29.17,352.45,4.85
2003-05-15,1682.0,1672.25,95.22,343210.0,946.67,119.2124,202.89,28.74,351.95,4.78
2003-05-16,1673.0,1663.5,94.08,342097.0,944.3,119.4883,203.12,29.14,354.75,4.78
2003-05-19,1672.5,1661.0,93.74,341007.0,920.77,118.4772,198.89,28.83,366.25,4.81
2003-05-20,1668.0,1654.25,93.26,340644.0,919.73,118.7891,198.84,29.28,367.95,4.765
2003-05-21,1692.0,1680.5,93.54,340229.0,923.42,119.6561,198.88,29.03,371.55,4.71
2003-05-22,1692.5,1680.5,93.56,339001.0,931.87,118.7275,200.78,28.85,367.05,4.65
2003-05-23,1682.5,1669.0,93.05,338923.0,933.22,118.8481,201.53,29.16,368.75,4.64
2003-05-26,1682.5,1669.0,93.05,338923.0,933.22,118.8481,201.82,29.16,370.35,4.67
2003-05-27,1715.0,1699.25,92.72,337902.0,951.48,118.2385,204.08,29.35,366.25,4.62
2003-05-28,1693.0,1677.25,93.45,337114.0,953.22,117.2862,204.85,28.58,365.05,4.63
2003-05-29,1693.0,1677.5,92.71,337243.0,949.64,118.1188,205.34,29.1,369.25,4.575
2003-05-30,1712.0,1696.75,93.29,336728.0,963.59,118.8213,206.54,29.56,364.45,4.53
2003-06-02,1738.0,1721.75,93.34,334734.0,967.0,120.2647,208.46,30.71,365.85,4.5
2003-06-03,1727.5,1711.0,93.53,333889.0,971.56,119.7001,208.51,30.67,365.25,4.51
2003-06-04,1715.0,1699.0,93.73,333060.0,986.24,119.0409,210.71,30.05,361.28,4.485
2003-06-05,1721.0,1706.25,92.52,332320.0,990.14,120.1219,212.29,30.74,368.75,4.5
2003-06-06,1719.0,1704.75,93.48,330931.0,987.76,120.8258,212.7,31.28,363.75,4.54
2003-06-09,1697.5,1682.25,93.3,330291.0,975.93,120.0098,210.96,31.45,361.85,4.528
2003-06-10,1688.5,1673.75,93.56,329704.0,984.84,120.5273,211.85,31.73,352.15,4.47
2003-06-11,1690.0,1675.0,92.97,328826.0,997.48,120.5653,214.8,32.36,355.65,4.5
2003-06-12,1698.0,1683.0,92.87,327914.0,998.51,118.5449,215.37,31.51,353.45,4.51
2003-06-13,1681.0,1665.75,92.22,327402.0,988.61,116.9823,214.16,30.65,356.65,4.58
2003-06-16,1678.0,1663.75,92.4,326063.0,1010.74,117.0069,217.51,31.18,359.15,4.61
2003-06-17,1711.0,1696.75,92.61,325460.0,1011.66,117.8018,218.58,31.07,363.35,4.61
2003-06-18,1719.5,1706.0,93.17,324627.0,1010.09,117.2839,218.09,30.36,357.35,4.57
2003-06-19,1719.0,1707.25,93.16,324476.0,994.7,117.6122,215.32,29.96,361.35,4.58
2003-06-20,1705.0,1695.75,93.91,322977.0,995.69,117.5395,215.52,30.82,357.38,4.5527
2003-06-23,1690.0,1683.5,94.08,322030.0,981.64,116.8044,212.33,29.17,353.0,4.56
2003-06-24,1689.0,1679.5,94.39,321747.0,983.45,115.9031,211.57,28.78,346.8,4.52
2003-06-25,1676.5,1663.75,94.12,321454.0,975.32,117.2477,211.33,29.95,347.4,4.56
2003-06-26,1665.5,1654.0,94.97,321382.0,985.82,114.7077,211.64,29.01,344.15,4.53
2003-06-27,1677.0,1667.0,95.04,321200.0,976.22,115.2883,210.82,29.27,345.25,4.51
2003-06-30,1655.0,1647.5,94.73,321084.0,974.5,115.7878,210.08,30.19,346.4,4.56
2003-07-01,1642.5,1637.0,94.3,320453.0,982.32,116.3971,210.96,30.4,350.75,4.5748
2003-07-02,1667.0,1666.0,94.13,319937.0,993.75,116.4456,213.84,30.15,351.5,4.64
2003-07-03,1649.5,1646.25,94.35,319441.0,985.7,116.1357,213.76,30.42,351.15,4.68
2003-07-04,1657.5,1655.5,94.55,319441.0,985.7,116.1357,213.3,30.42,350.85,4.66
2003-07-07,1682.0,1678.75,95.51,318989.0,1004.42,116.6832,216.75,30.13,348.25,4.73
2003-07-08,1691.0,1688.5,95.82,318539.0,1007.84,117.2276,216.93,30.22,344.45,4.74
2003-07-09,1699.0,1695.5,95.55,318028.0,1002.21,118.2649,216.0,30.88,344.55,4.81
2003-07-10,1711.0,1706.5,95.39,317368.0,988.7,117.0629,213.66,31.06,345.45,4.81
2003-07-11,1712.0,1704.75,95.8,316813.0,998.14,117.015,214.7,31.28,345.2,4.79
2003-07-14,1745.0,1738.0,96.07,316228.0,1003.86,117.1648,216.71,31.27,347.3,4.78
2003-07-15,1736.0,1729.25,97.0,315426.0,1000.42,116.1077,215.53,31.62,342.15,4.65
2003-07-16,1732.0,1727.0,96.72,314944.0,994.0,115.4121,214.08,31.05,343.55,4.66
2003-07-17,1727.0,1723.25,96.86,314454.0,981.73,115.7128,211.29,31.41,344.75,4.675
2003-07-18,1720.0,1715.5,96.63,313919.0,993.32,116.1704,212.83,31.96,347.25,4.72
2003-07-21,1702.0,1698.0,96.11,313289.0,978.8,116.0647,211.17,31.78,351.75,4.7575
2003-07-22,1699.0,1694.75,96.38,312567.0,988.11,114.0209,212.54,30.19,350.75,4.79
2003-07-23,1707.0,1702.25,95.44,312071.0,988.61,114.7523,213.37,29.67,359.65,5.05
2003-07-24,1739.0,1734.75,95.34,311578.0,981.6,115.3716,213.91,30.22,361.65,5.1
2003-07-25,1752.5,1754.5,94.96,311172.0,998.68,115.7571,215.98,30.17,362.75,5.07
2003-07-28,1767.5,1770.5,95.08,311175.0,996.52,116.2341,216.51,30.11,365.15,5.17
2003-07-29,1767.0,1769.5,95.33,311220.0,989.28,116.1758,215.38,30.24,361.85,5.15
2003-07-30,1756.0,1763.0,96.07,311220.0,987.49,116.0358,214.19,30.68,356.35,5.07
2003-07-31,1786.0,1796.0,96.89,311220.0,990.31,116.3948,214.46,30.54,354.35,5.145
2003-08-01,1784.0,1798.0,96.66,311265.0,980.15,118.3628,212.85,32.31,346.15,5.092
2003-08-04,1768.0,1776.5,96.16,311116.0,982.82,117.2502,212.85,31.84,349.45,5.01
2003-08-05,1772.0,1783.5,96.16,310759.0,965.46,117.4481,210.97,32.22,352.05,4.95
2003-08-06,1762.0,1777.0,96.29,310625.0,967.08,117.6922,210.19,31.7,351.75,4.97
2003-08-07,1787.0,1800.0,95.83,310439.0,974.12,119.1438,211.55,32.39,352.85,5.038
2003-08-08,1757.0,1769.5,96.36,310102.0,977.59,118.6134,212.21,32.18,356.75,4.98
2003-08-11,1766.0,1776.0,95.87,309810.0,980.59,118.6707,213.29,32.01,361.85,4.99
2003-08-12,1738.5,1742.5,96.15,308977.0,990.35,118.9983,214.79,31.92,358.45,4.87
2003-08-13,1736.0,1736.0,96.18,308574.0,984.03,118.5316,214.58,30.78,362.7,5.01
2003-08-14,1753.0,1749.0,96.68,307941.0,990.51,118.2921,216.44,31.09,365.95,5.03
2003-08-15,1736.0,1727.5,96.65,307941.0,990.67,117.9608,216.43,31.05,363.75,4.92
2003-08-18,1750.5,1739.25,97.35,307941.0,999.74,118.9354,217.89,30.89,358.35,4.93
2003-08-19,1761.5,1750.25,97.31,306185.0,1002.35,118.8727,218.23,30.7,362.05,4.99
2003-08-20,1767.0,1755.5,97.37,305661.0,1000.3,120.0973,218.38,30.95,366.25,5.02
2003-08-21,1756.0,1744.75,98.61,305113.0,1003.28,120.8397,218.82,31.88,360.75,4.95
2003-08-22,1771.0,1759.0,98.83,304664.0,993.06,121.3215,217.42,31.84,362.95,4.99
2003-08-25,1771.0,1759.0,98.92,304847.0,993.71,120.5607,216.95,31.56,361.25,4.98
2003-08-26,1756.0,1742.0,98.76,304499.0,996.73,120.5459,216.59,31.95,364.45,4.995
2003-08-27,1749.0,1732.5,98.86,304402.0,996.79,119.9864,217.07,31.21,372.55,5.12
2003-08-28,1734.0,1720.0,98.83,304372.0,1002.84,120.3947,218.0,31.5,369.65,5.11
2003-08-29,1766.0,1755.75,98.1,304034.0,1008.01,120.8984,219.1,31.57,375.55,5.1
2003-09-01,1773.0,1763.0,98.07,304034.0,1008.01,120.8984,220.41,31.57,375.55,5.15
2003-09-02,1787.0,1774.5,98.95,303922.0,1021.99,118.7809,221.79,29.41,371.95,4.98
2003-09-03,1812.0,1798.25,98.71,303766.0,1026.27,119.5484,223.32,29.49,373.85,5.06
2003-09-04,1797.0,1782.5,98.2,303479.0,1027.97,119.3071,223.71,28.98,373.35,5.02
2003-09-05,1824.0,1809.5,97.09,302825.0,1021.39,119.634,223.39,28.88,377.35,5.12
2003-09-08,1814.0,1798.25,97.16,302255.0,1031.64,119.5951,225.44,28.85,375.25,5.08
2003-09-09,1794.0,1777.75,96.44,302385.0,1023.17,119.982,224.53,29.18,382.65,5.245
2003-09-10,1775.0,1758.0,96.5,302189.0,1010.92,120.65,222.24,29.35,380.45,5.25
2003-09-11,1816.0,1799.5,96.56,301810.0,1016.42,120.5949,222.56,28.82,380.15,5.32
2003-09-12,1796.0,1779.25,96.0,301327.0,1018.63,119.6774,223.4,28.27,375.25,5.18
2003-09-15,1805.0,1787.5,95.98,301124.0,1014.81,119.2095,222.99,28.14,374.05,5.19
2003-09-16,1789.0,1770.5,96.67,300764.0,1029.32,117.8064,225.44,27.56,373.25,5.2
2003-09-17,1802.0,1783.75,95.8,299987.0,1025.97,117.6904,225.81,27.03,376.75,5.27
2003-09-18,1812.5,1795.25,95.95,299920.0,1039.58,117.4459,228.29,27.17,376.35,5.23
2003-09-19,1824.0,1807.25,94.78,299000.0,1036.3,117.8979,227.88,27.03,381.85,5.24
2003-09-22,1825.5,1810.5,93.85,298865.0,1022.82,118.6188,225.53,26.96,387.1,5.25
2003-09-23,1813.5,1799.0,93.99,298790.0,1029.03,118.5064,226.25,27.13,384.75,5.2
2003-09-24,1825.0,1810.0,93.7,298493.0,1009.38,120.0715,224.01,28.24,388.85,5.3
2003-09-25,1817.5,1802.75,93.76,298493.0,1003.27,120.0378,222.34,28.29,385.35,5.2
2003-09-26,1802.5,1787.0,93.85,298493.0,996.85,119.0097,220.72,28.16,380.85,5.11
2003-09-29,1812.0,1796.0,93.08,298480.0,1006.58,120.4262,221.82,28.4,382.25,5.06
2003-09-30,1798.0,1782.75,92.85,299000.0,995.97,120.8978,220.15,29.2,385.35,5.12
2003-10-01,1802.0,1786.75,92.39,299000.0,1018.22,121.1389,224.59,29.39,384.75,5.095
2003-10-02,1825.0,1811.25,92.42,298819.0,1020.24,121.9345,225.87,29.84,382.85,5.09
2003-10-03,1836.0,1823.25,93.1,298695.0,1029.85,121.9401,228.48,30.4,369.55,4.81
2003-10-06,1831.0,1816.0,92.41,298557.0,1034.35,122.2614,229.17,30.47,372.95,4.79
2003-10-07,1854.0,1838.0,91.89,298298.0,1039.25,123.3978,230.33,30.41,376.45,4.85
2003-10-08,1869.5,1853.15,91.73,298126.0,1033.78,123.0738,229.42,29.81,375.25,4.85
2003-10-09,1874.0,1859.25,91.94,297751.0,1038.73,125.2255,231.04,31.01,370.05,4.83
2003-10-10,1883.0,1867.75,91.52,297688.0,1038.06,127.1809,231.72,31.97,373.05,4.9
2003-10-13,1934.5,1919.0,91.89,297312.0,1045.35,128.4169,233.0,31.95,374.75,4.97
2003-10-14,1919.0,1903.25,91.83,297312.0,1049.48,127.3968,233.59,31.82,375.25,4.92
2003-10-15,1964.0,1948.75,92.5,297312.0,1046.76,127.5947,233.33,31.77,372.95,4.93
2003-10-16,1963.0,1949.25,92.61,297194.0,1050.07,126.9644,234.31,31.54,371.65,4.91
2003-10-17,1955.0,1942.5,92.29,296929.0,1039.32,125.516,232.49,30.68,371.65,4.93
2003-10-20,1994.0,1985.5,92.43,296391.0,1044.68,124.8853,233.38,30.35,373.35,4.99
2003-10-21,1985.0,1977.25,92.37,296170.0,1046.03,125.0666,233.8,30.18,380.75,5.05
2003-10-22,2008.0,2000.75,91.27,295910.0,1030.36,125.6225,231.11,29.92,385.85,5.12
2003-10-23,1982.5,1973.25,91.51,295485.0,1033.77,126.8193,229.41,30.3,384.25,5.15
2003-10-24,1960.0,1951.5,91.43,295192.0,1028.91,126.6318,229.18,30.16,388.55,5.15
2003-10-27,1988.0,1981.5,91.61,295011.0,1031.13,126.3351,230.09,29.92,387.95,5.18
2003-10-28,1986.0,1977.75,91.86,294855.0,1046.79,126.3617,232.68,29.56,382.85,5.08
2003-10-29,2015.0,2011.75,91.86,294645.0,1048.11,127.0427,233.49,28.91,386.5,5.13
2003-10-30,2052.0,2048.75,92.21,294445.0,1046.94,125.825,233.69,28.47,383.55,5.12
2003-10-31,2067.0,2062.25,92.73,294422.0,1050.71,126.5708,233.24,29.11,384.25,5.05
2003-11-03,2047.0,2040.5,93.66,294422.0,1059.02,125.1608,234.36,28.9,376.65,4.92
2003-11-04,2095.0,2091.25,93.23,294422.0,1053.25,125.1634,234.5,28.75,379.55,5.0315
2003-11-05,2103.0,2106.0,93.63,294422.0,1051.81,127.3027,233.77,30.3,381.35,4.97
2003-11-06,2083.0,2085.75,93.89,294422.0,1058.05,126.1467,233.77,30.26,379.95,4.95
2003-11-07,2087.0,2092.0,93.02,294422.0,1053.21,127.0949,234.49,30.85,383.05,5.058
2003-11-10,2043.0,2045.75,93.05,294422.0,1047.11,127.0738,233.39,30.88,385.95,5.08
2003-11-11,2073.0,2075.0,93.1,294225.0,1046.57,128.109,232.24,31.15,387.95,5.06
2003-11-12,2098.0,2108.0,92.31,294070.0,1058.56,128.4753,234.6,31.33,394.05,5.31
2003-11-13,2082.0,2089.5,91.61,293873.0,1058.41,129.2333,235.77,31.9,394.65,5.2875
2003-11-14,2095.0,2098.75,91.37,293673.0,1050.35,130.8534,235.15,32.37,397.55,5.4
2003-11-17,2043.0,2047.0,91.61,293316.0,1043.63,128.4987,232.16,31.73,391.05,5.24
2003-11-18,2053.0,2057.5,90.23,292657.0,1034.15,129.986,231.84,33.28,398.75,5.37
2003-11-19,2032.0,2037.5,90.91,292283.0,1042.44,127.7588,231.89,32.92,395.05,5.27
2003-11-20,1969.0,1976.0,90.66,291937.0,1033.65,127.0058,231.04,32.86,394.45,5.26
2003-11-21,1972.0,1978.5,90.6,291153.0,1035.28,126.8988,231.54,31.61,396.05,5.28
2003-11-24,2000.0,2009.0,91.56,290660.0,1052.08,124.817,233.68,29.74,391.48,5.24
2003-11-25,1983.5,1998.5,91.46,289965.0,1053.89,125.0512,234.41,29.77,391.25,5.29
2003-11-26,1993.0,2004.0,90.6,289257.0,1058.45,126.0868,236.01,30.41,396.65,5.35
2003-11-27,2019.0,2035.5,90.65,289257.0,1058.45,126.0868,236.23,30.41,395.25,5.32
2003-11-28,2070.0,2089.5,90.23,289257.0,1058.2,126.0868,236.42,30.41,398.15,5.35
2003-12-01,2098.0,2116.0,90.35,288632.0,1070.12,129.0389,239.46,29.95,402.25,5.46
2003-12-02,2128.0,2146.5,89.64,288786.0,1066.62,131.144,239.75,30.78,403.25,5.49
2003-12-03,2161.5,2180.5,89.5,288052.0,1064.73,132.102,240.05,31.1,404.75,5.46
2003-12-04,2127.0,2144.25,89.6,287736.0,1069.72,132.777,240.38,31.26,402.75,5.45
2003-12-05,2132.0,2157.0,89.14,287408.0,1061.5,131.8001,239.32,30.73,406.35,5.46
2003-12-08,2139.0,2171.0,88.75,287320.0,1069.3,135.0055,239.96,32.1,406.75,5.55
2003-12-09,2148.0,2170.5,88.49,286911.0,1060.18,134.7972,239.33,31.76,408.25,5.63
2003-12-10,2144.0,2157.0,88.88,286429.0,1059.05,134.7467,238.28,31.88,405.45,5.56
2003-12-11,2141.0,2159.5,88.88,286277.0,1071.21,133.9217,239.8,31.85,404.95,5.58
2003-12-12,2157.5,2172.5,88.6,285757.0,1074.14,136.6262,241.2,33.04,408.85,5.61
2003-12-15,2177.0,2183.0,88.4,285068.0,1068.04,136.3283,241.44,33.18,409.75,5.64
2003-12-16,2203.0,2210.25,88.36,284409.0,1075.13,135.7671,241.61,32.89,407.25,5.61
2003-12-17,2185.0,2187.0,87.94,283929.0,1076.48,136.7907,241.73,33.35,412.55,5.69
2003-12-18,2225.0,2227.5,87.85,283108.0,1089.18,137.3204,243.95,33.71,410.75,5.71
2003-12-19,2238.0,2243.0,88.15,282791.0,1088.67,136.7654,244.31,33.02,409.35,5.7
2003-12-22,2220.0,2224.75,87.99,282473.0,1092.94,133.8889,245.3,31.87,410.05,5.69
2003-12-23,2237.0,2245.5,87.99,281990.0,1096.02,133.6801,246.09,31.95,410.75,5.725
2003-12-24,2240.0,2248.0,87.55,281542.0,1094.04,134.6716,246.32,32.86,412.05,5.76
2003-12-25,2240.0,2248.0,87.57,281542.0,1094.04,134.6716,246.34,32.86,412.95,5.77
2003-12-26,2240.0,2248.0,87.63,281542.0,1095.89,134.6716,246.72,32.86,412.25,5.77
2003-12-29,2281.0,2293.0,87.35,281542.0,1109.48,135.0991,249.08,32.4,414.58,5.92
2003-12-30,2278.0,2288.0,87.0,281251.0,1109.64,135.892,250.16,32.79,416.25,5.97
2003-12-31,2301.0,2318.0,86.92,280938.0,1111.92,135.2686,251.13,32.52,415.45,5.94
2004-01-01,2301.0,2318.0,86.95,280938.0,1111.92,135.2686,251.14,32.52,415.85,5.94
2004-01-02,2348.0,2364.5,86.92,280938.0,1108.48,135.2686,251.74,32.52,415.85,5.97
2004-01-05,2377.0,2389.25,86.07,280726.0,1122.22,140.4199,255.23,33.78,423.65,6.22
2004-01-06,2342.0,2353.5,85.63,279648.0,1123.67,140.0785,255.76,33.7,422.35,6.3
2004-01-07,2336.0,2349.5,86.2,278897.0,1126.33,139.2188,255.22,33.62,420.55,6.21
2004-01-08,2404.0,2416.0,85.54,278567.0,1131.92,141.1928,256.97,33.98,423.88,6.2
2004-01-09,2418.0,2427.75,85.11,277760.0,1121.86,142.2182,256.52,34.31,426.38,6.46
2004-01-12,2371.0,2381.25,85.56,277571.0,1127.23,142.3097,256.78,34.72,424.45,6.59
2004-01-13,2372.0,2378.0,85.51,276569.0,1121.22,140.6606,256.0,34.43,424.15,6.57
